Time (ps),Pressure (bar)
0.000000,131.459732

1.000000,-120.597389

2.000000,85.123413

3.000000,45.576633

4.000000,-18.221319

5.000000,-66.913765

6.000000,69.552513

7.000000,148.873413

8.000000,85.830482

9.000000,260.395294

10.000000,48.481827

11.000000,289.884399

12.000000,-45.688873

13.000000,109.819466

14.000000,60.755390

15.000000,14.995780

16.000000,148.651596

17.000000,250.760803

18.000000,25.675596

19.000000,67.150291

20.000000,69.057350

21.000000,-121.826935

22.000000,-225.477539

23.000000,-19.643240

24.000000,62.206501

25.000000,-220.847946

26.000000,-38.898846

27.000000,56.989975

28.000000,38.762280

29.000000,-87.934364

30.000000,-144.736465

31.000000,329.572845

32.000000,-82.962044

33.000000,-113.148155

34.000000,-29.703287

35.000000,124.221642

36.000000,42.630203

37.000000,-36.531574

38.000000,-110.448692

39.000000,33.291130

40.000000,-44.036404

41.000000,145.819534

42.000000,-135.986877

43.000000,-139.616837

44.000000,-265.292297

45.000000,83.715729

46.000000,-346.328278

47.000000,39.054676

48.000000,-33.006908

49.000000,107.734962

50.000000,59.966949

51.000000,59.376812

52.000000,-280.141266

53.000000,75.438591

54.000000,-36.263050

55.000000,126.421761

56.000000,91.581581

57.000000,-109.041115

58.000000,-65.562805

59.000000,182.613205

60.000000,-87.103088

61.000000,264.127533

62.000000,122.622231

63.000000,172.228928

64.000000,-88.213966

65.000000,301.649200

66.000000,-116.270020

67.000000,-269.975098

68.000000,332.866302

69.000000,51.910767

70.000000,26.293037

71.000000,305.920441

72.000000,-19.366110

73.000000,-234.530472

74.000000,-91.287102

75.000000,144.400574

76.000000,129.106995

77.000000,-83.837044

78.000000,107.511993

79.000000,-522.601807

80.000000,37.162312

81.000000,77.719246

82.000000,10.030305

83.000000,-143.267776

84.000000,-8.887156

85.000000,-125.067108

86.000000,-51.438538

87.000000,87.013031

88.000000,90.771523

89.000000,-335.756866

90.000000,-385.956207

91.000000,-66.662056

92.000000,116.079353

93.000000,-434.165894

94.000000,18.901224

95.000000,-49.295963

96.000000,-153.755875

97.000000,161.801834

98.000000,109.344696

99.000000,84.275864

100.000000,-135.355911

101.000000,168.600266

102.000000,-227.740662

103.000000,126.334312

104.000000,-236.776779

105.000000,-5.046590

106.000000,54.232239

107.000000,-139.949997

108.000000,-27.019629

109.000000,-233.627426

110.000000,-403.419769

111.000000,-15.638611

112.000000,-129.928040

113.000000,-11.842643

114.000000,150.480515

115.000000,-8.903473

116.000000,-260.419434

117.000000,-239.373428

118.000000,-269.952271

119.000000,124.014381

120.000000,23.917877

121.000000,-210.541016

122.000000,21.091604

123.000000,-162.835312

124.000000,160.385147

125.000000,-55.592342

126.000000,-366.019196

127.000000,-166.944870

128.000000,-181.672806

129.000000,-63.705402

130.000000,-102.608971

131.000000,-270.020050

132.000000,-74.682953

133.000000,-93.112083

134.000000,321.511566

135.000000,170.090271

136.000000,-321.128632

137.000000,-543.745911

138.000000,-146.388947

139.000000,-33.933502

140.000000,-470.345703

