Time (ps),Temperature (K)
0.000000,282.002869

1.000000,314.632080

2.000000,320.929962

3.000000,299.208984

4.000000,294.878418

5.000000,294.034180

6.000000,290.206390

7.000000,297.175140

8.000000,289.260010

9.000000,306.214111

10.000000,295.391113

11.000000,304.701050

12.000000,295.389404

13.000000,295.108307

14.000000,308.750488

15.000000,309.433350

16.000000,296.725067

17.000000,290.628235

18.000000,333.150085

19.000000,288.713928

20.000000,313.847168

21.000000,292.805450

22.000000,320.216461

23.000000,322.788391

24.000000,310.536041

25.000000,289.699707

26.000000,310.675446

27.000000,299.600067

28.000000,307.720154

29.000000,316.133362

30.000000,294.694000

31.000000,292.603760

32.000000,290.588684

33.000000,312.883362

34.000000,284.643890

35.000000,275.491089

36.000000,320.651642

37.000000,290.782745

38.000000,290.215057

39.000000,311.258636

40.000000,326.860931

41.000000,288.994720

42.000000,317.406342

43.000000,294.861481

44.000000,310.313812

45.000000,294.546143

46.000000,277.234070

47.000000,296.101471

48.000000,296.941315

49.000000,296.873016

50.000000,301.661926

51.000000,285.660095

52.000000,302.309601

53.000000,305.546173

54.000000,266.669739

55.000000,281.540344

56.000000,326.568787

57.000000,290.212677

58.000000,296.593384

59.000000,287.359375

60.000000,311.564423

61.000000,316.784332

62.000000,291.505463

63.000000,311.273987

64.000000,299.689819

65.000000,298.157898

66.000000,294.944061

67.000000,306.240112

68.000000,313.210510

69.000000,317.670746

70.000000,287.340698

71.000000,309.185394

72.000000,295.947968

73.000000,301.094574

74.000000,289.126587

75.000000,284.512512

76.000000,305.428131

77.000000,293.433472

78.000000,310.820587

79.000000,282.569458

80.000000,310.370087

81.000000,303.674194

82.000000,291.302948

83.000000,299.372650

84.000000,316.219910

85.000000,315.288757

86.000000,291.778259

87.000000,295.292847

88.000000,304.753662

89.000000,304.047119

90.000000,312.621765

91.000000,286.152130

92.000000,320.886688

93.000000,295.315369

94.000000,306.010223

95.000000,284.540314

96.000000,302.808777

97.000000,290.580078

98.000000,304.317596

99.000000,312.339539

100.000000,301.277557

101.000000,303.796539

102.000000,308.085510

103.000000,317.943146

104.000000,316.710663

105.000000,279.404053

106.000000,281.909332

107.000000,289.671631

108.000000,301.675018

109.000000,290.961334

110.000000,323.941223

111.000000,293.183289

112.000000,300.400299

113.000000,302.063049

114.000000,294.206482

115.000000,310.532867

116.000000,298.733307

117.000000,286.014496

118.000000,298.377594

119.000000,305.382080

120.000000,295.858765

121.000000,306.931641

122.000000,307.064240

123.000000,289.037659

124.000000,299.581421

125.000000,302.179199

126.000000,288.367584

127.000000,314.317108

128.000000,306.294189

129.000000,305.473175

130.000000,286.701691

131.000000,312.874115

132.000000,304.599487

133.000000,290.292511

134.000000,300.112366

135.000000,307.432831

136.000000,315.059937

137.000000,293.301575

138.000000,303.650391

139.000000,321.984741

140.000000,299.341980

141.000000,304.812164

142.000000,295.049835

143.000000,300.013824

144.000000,313.444153

145.000000,281.613190

146.000000,302.778564

147.000000,289.730316

148.000000,307.940216

149.000000,289.762726

150.000000,300.941833

151.000000,320.260834

152.000000,297.335175

153.000000,289.914948

154.000000,311.325531

155.000000,295.622467

156.000000,317.217072

